Plan Name,MRP,LCO Price,BC Price,SD Count,HD Count
MAHARASHTRA FTA 30d,153.4,61.36,0,202,0
HW MH MAHARASHTRA JUMBO HD 30d,560,362,325.28,258,39
HW MH TAMIL VALUE 30d,300,151,117.28,249,0
HW MH KANNADA VALUE 30d,330,177.81,103.52,246,0
HW MH MALAYALAM VALUE 30d,330,177.81,103.52,252,0
HW MH TELUGU VALUE 30d,350,195.82,119.52,257,0
HW MH BENGAL VALUE 30d,450,274.02,180.64,296,0
HW MH MAHARASHTRA DIAMOND HD 30d,645,426,393.28,265,43
HW MH FAMILY VALUE 30d,399,260,196.48,297,0
HW MH GRAND VALUE 30d,510,338,285.28,323,0
HW MH MAHARASHTRA SUPER COMBO 30d,399,225,196.48,285,0
HW MH SUPREME VALUE HD 30d,699,510,436.48,274,61
HW MH SUPER VALUE 30d,325,215.36,137.28,289,0
HW MH FAMILY VALUE PLUS 30d,401,242,198.08,297,0
HW MH ROYAL VALUE PLUS 30d,545,360,313.28,323,0
HW MH STARTER VALUE 30d,300,195,117.28,267,0
HW MH BUDGET MARATHI PLUS 30d,230.11,130.4,77.28,239,0
HW MH BUDGET MARATHI SPORTS 30d,250.17,148.45,97.28,253,0
HW MH SUPER VALUE 90d,975,646.08,411.84,289,0
HW MH FAMILY VALUE 60d,798,520,392.96,297,0
HW MH GUJARAT FAMILY VALUE 30d,399.98,271.49,178.39,305,0
HW MH GUJARAT SUPER VALUE 30d,350,221,157.28,291,0
HW MH SUPER VALUE 60d,650,430.72,274.56,289,0
HW MH SILVER 30d,285,165,105.28,266,0
HW MH GOLD 30d,350,220,157.28,306,0
HW MH PLATINUM 30d,425,296,217.29,340,0
HW MH GOLD PLUS HD JLG 30d,420,290,213.29,264,32
HW MH PLATINUM PLUS HD JLG 30d,549,399,316.47,274,55
HW MH GOLD 180d,2100,1320,943.68,272,0
HW MH GOLD 90d,1050,660,471.84,272,0
HW MH PLATINUM 180d,2550,1776,1303.68,306,0
HW MH PLATINUM 90d,1275,888,651.84,306,0
HW MH GOLD 360d,4200,2640,1887.36,295,0
HW MH PLATINUM 360d,5100,3552,2607.36,335,0
HW MH SUPER VALUE 360d,3900,2584.32,1647.36,0,0
HW MH SUPREME VALUE HD 360d,8388,6120,5237.76,0,0
HW MH MAHARASHTRA JUMBO HD 180d,3360,2172,1951.69,0,0
HW MH GRAND VALUE 360d,6120,4056,3423.36,0,0
HW MH MAHARASHTRA JUMBO HD 360d,6720,4344,3903.36,0,0
HW MH STARTER VALUE 90d,900,585,351.84,268,0
HW MH STARTER VALUE 180d,1800,1170,703.68,268,0
COLORS WALA KANNADA VALUE SPORTS 30d,49.21,44.29,39.36,22,0
